Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,CCA,RCCA,RTSS,Count,avg_FC
Gucy1a3,0,0.942577151,0.974,0.091,0,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,2.566587386
Gucy1b3,1.62E-208,0.541423093,0.999,0.967,5.71E-204,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.718450638
H2-T23,5.72E-167,-0.912885424,0.676,0.942,2.01E-162,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,,1,0.401364445
Igfn1,2.84E-198,0.365102072,0.678,0.014,9.99E-194,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.440661052
Igsf21,6.41E-240,-0.738594379,0.769,0.994,2.26E-235,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,0.477785028
Il1rapl1,1.84E-62,0.265358954,0.997,0.98,6.47E-58,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.303898932
Itgav,7.30E-79,0.290598119,0.937,0.725,2.57E-74,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.33722707
Itpka,2.65E-203,0.752005269,1,0.981,9.32E-199,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,2.12124943
Jup,1.61E-257,-0.475083262,0.193,0.938,5.67E-253,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,0.621833279
Kirrel3,1.24E-186,0.263755266,0.726,0.078,4.38E-182,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.30180956
Lrfn5,1.37E-155,0.510067128,0.99,0.818,4.81E-151,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.665402986
Lrrc4c,4.21E-74,0.337757638,0.999,0.996,1.48E-69,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,1,1,1.401800719
Lrrk2,2.47E-42,0.276580079,0.908,0.755,8.69E-38,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.318612542
Lrrtm1,3.94E-211,0.5845513,0.974,0.53,1.39E-206,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.794185754
Lrrtm2,7.08E-198,-0.749141315,0.701,0.983,2.49E-193,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.472772341
Mapk1,6.55E-99,0.299921891,1,1,2.31E-94,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.349753376
Mctp1,3.17E-224,-0.656553354,0.519,0.972,1.12E-219,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.518635812
Mef2c,9.73E-192,0.481249994,1,1,3.42E-187,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.618095749
Mgll,3.37E-116,-0.34796463,0.76,0.979,1.19E-111,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.706123851
Myadm,5.86E-94,-0.413039189,0.89,0.977,2.06E-89,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,,1,0.661636353
Ncdn,5.70E-123,0.563882919,1,1,2.01E-118,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.757483434
Neto1,9.46E-81,-0.36200255,0.944,0.993,3.33E-76,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.696280592
Npnt,1.30E-131,0.27408067,0.698,0.161,4.57E-127,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.315320905
Nrgn,1.68E-55,0.295453685,1,1,5.90E-51,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.343735853
Nrn1,1.76E-71,0.428278869,1,0.996,6.21E-67,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.534613978
Nrxn1,1.47E-214,0.541219222,1,1,5.19E-210,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,1,1,1.718100331
Nsg1,2.64E-222,0.566736107,1,1,9.31E-218,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.762505025
Pak1,1.14E-108,-0.531949689,0.998,1,4.02E-104,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.587458491
Pcdh8,1.83E-152,0.39368076,0.56,0.014,6.43E-148,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,1,1,1,1.482427223
Pde4a,2.06E-128,-0.303462148,0.737,0.989,7.26E-124,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.738257833
Pfn2,1.98E-77,-0.272103287,1,1,6.96E-73,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.761775576
Plk2,7.76E-124,0.569229251,1,0.993,2.73E-119,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.766904686
Ppfia2,1.57E-136,0.433798351,0.995,0.893,5.53E-132,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.543107671
Ppp3ca,2.54E-251,0.640200488,1,1,8.94E-247,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.896861139
Prkar1b,8.56E-56,0.332623253,1,1,3.01E-51,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.39462178
Prkar2b,1.43E-74,-0.351951735,0.929,0.988,5.03E-70,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.703314067
Prkca,1.14E-265,0.612287404,0.997,0.533,4.03E-261,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,1,1,1.844646027
Prkcb,8.63E-289,-0.920072898,1,1,3.04E-284,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.398489991
Prkcg,1.16E-204,-0.872653719,0.952,1,4.07E-200,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.417841243
Ptgs2,2.60E-101,0.741851715,0.687,0.22,9.16E-97,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,2.099820185
Ptk2,4.82E-97,-0.402773035,0.995,1,1.70E-92,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,1,1,0.6684638
Ptn,0,2.247858804,1,0.454,0,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,9.467442468
Ptpn5,5.30E-51,0.274865971,0.995,0.984,1.87E-46,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.316354233
Ptprs,9.32E-204,0.481068034,1,1,3.28E-199,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,1,1,1.617801347
Ptprt,6.19E-166,0.271521392,0.804,0.166,2.18E-161,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.311958937
Pvrl3,0,1.063905054,0.985,0.073,0,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,2.89766446
Rab3a,7.86E-143,-0.265165601,0.999,1,2.77E-138,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.76707891
Rapgef4,1.69E-100,-0.435914815,0.966,0.999,5.95E-96,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.64667281
Rasgrf1,2.61E-196,0.734984987,0.995,0.694,9.19E-192,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,2.085450683
Rasgrf2,0,0.911343053,0.989,0.036,0,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,2.487661352
Rasgrp1,7.24E-83,-0.396348046,0.974,0.999,2.55E-78,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,,1,0.672772499
Rgs14,4.78E-140,0.483461601,0.955,0.581,1.68E-135,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.621678301
Rgs4,5.49E-66,0.611224455,0.997,0.999,1.93E-61,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.842686304
Rims3,4.63E-162,0.41965841,0.912,0.397,1.63E-157,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.521441758
Serpinb8,6.22E-41,-0.2943235,0.563,0.758,2.19E-36,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,0.745035433
Serpine2,3.43E-229,0.571867253,0.807,0.089,1.21E-224,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,1,1,1.771571938
Slc24a2,1.21E-62,-0.344175344,0.984,0.991,4.24E-58,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.708804633
Slc4a10,5.10E-62,-0.301064388,0.999,1,1.80E-57,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.740030122
Snca,1.61E-185,-0.53603207,1,1,5.67E-181,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.58506515
Sorcs3,4.58E-201,0.549085038,0.828,0.188,1.61E-196,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.731667882
Sparcl1,1.19E-129,-0.496456944,0.999,1,4.18E-125,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,0.608683443
Spint2,2.63E-207,0.519710143,0.981,0.502,9.27E-203,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,,1,1.681540173
Stxbp5l,1.12E-43,-0.255222523,0.993,0.999,3.96E-39,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.77474408
Syne1,5.28E-47,0.300842041,1,1,1.86E-42,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.350995923
Syngr1,8.19E-111,-0.333500375,0.993,1,2.89E-106,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.71641163
Syt4,7.82E-98,0.440920341,1,1,2.75E-93,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.554136896
Tenm1,1.04E-241,-0.5696501,0.312,0.975,3.67E-237,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,0.565723351
Tenm4,3.45E-89,0.275521621,0.98,0.828,1.22E-84,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.317217584
Tmem108,2.30E-275,0.396567518,0.982,0.261,8.11E-271,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,1.486712814
Tmem47,1.77E-201,0.723767718,0.863,0.226,6.22E-197,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,2.062188336
Tnfrsf21,1.85E-85,-0.373375938,0.831,0.955,6.50E-81,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,,1,0.688406386
Ttyh1,2.37E-161,0.464799016,1,0.99,8.34E-157,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.591694252
Unc5d,5.84E-306,0.49187135,0.952,0.069,2.05E-301,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.635373715
Usp46,3.44E-142,-0.548170956,0.889,0.996,1.21E-137,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,,1,1,0.578006043
Vstm2l,8.27E-285,0.349835885,0.975,0.316,2.91E-280,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,1,,,1,1.418834677
Wnt4,5.44E-242,0.363539069,0.803,0.041,1.91E-237,VISp,L2/3 IT vs L6 CT,Glut,Glut VISp L2/3 IT vs L6 CT,,1,,1,1.438411053
Abat,4.76E-120,-0.421489174,0.561,0.95,1.68E-115,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,0.656069091
Adcy1,2.61E-46,0.303990703,0.998,0.998,9.18E-42,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.355256456
Adcyap1,7.68E-81,-0.520304751,0.498,0.906,2.70E-76,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.594339395
Adora1,6.62E-65,0.364863771,0.998,0.945,2.33E-60,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.440317782
Akap5,1.23E-80,0.279384948,0.992,0.919,4.32E-76,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.322316269
Alcam,7.35E-163,0.740383073,0.911,0.241,2.59E-158,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,2.096738565
Apba2,1.05E-83,0.425661028,0.998,0.982,3.68E-79,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.530601856
App,3.44E-46,0.258363488,1,1,1.21E-41,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.294809381
Arc,1.74E-42,0.589731063,0.95,0.838,6.14E-38,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.803503321
Atp1b2,5.87E-100,0.411808172,0.981,0.577,2.07E-95,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,1.509544836
Atp2b2,3.29E-45,0.252124514,1,1,1.16E-40,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.286756246
Bcl6,4.60E-257,-0.439528367,0.067,0.978,1.62E-252,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,0.644340242
Cacnb4,5.39E-27,0.254787974,1,0.996,1.90E-22,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.290188038
Cacng2,1.99E-130,0.255110162,0.999,0.892,7.02E-126,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.290603789
Calb1,6.88E-133,-0.743253313,0.158,0.743,2.42E-128,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.475564237
Camk2d,5.47E-164,0.920838076,0.925,0.377,1.93E-159,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,2.511394247
Cd83,1.75E-101,0.474548766,0.756,0.215,6.16E-97,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,1.60728877
Cdh10,1.88E-94,0.388466595,0.974,0.574,6.63E-90,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,1.47471772
Cdh11,1.02E-29,0.258007856,0.967,0.901,3.59E-25,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,1,1,1.294348987
Cdh12,1.19E-187,0.702756957,0.99,0.404,4.18E-183,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,2.019312197
Cdh13,3.32E-87,-0.654465688,0.223,0.66,1.17E-82,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.519719681
Celf4,3.32E-91,0.424209286,1,1,1.17E-86,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.528381429
Chrna6,4.38E-30,-0.261191156,0.001,0.143,1.54E-25,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.77013369
Clstn1,4.89E-60,0.317183239,1,1,1.72E-55,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,1,1,1.373254183
Cntn6,1.81E-84,-0.350807875,0.631,0.965,6.37E-80,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.70411902
Cplx2,4.37E-136,0.818709163,0.973,0.884,1.54E-131,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,2.267570883
Cxcl12,9.18E-41,-0.295072485,0.219,0.55,3.23E-36,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,1,,1,0.744477622
Cyp46a1,1.13E-44,-0.281369735,0.982,1,3.99E-40,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.754749227
Dab1,7.58E-88,-0.364982976,0.892,0.998,2.67E-83,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.694208469
Dnm1,1.53E-73,0.36926678,1,1,5.38E-69,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.446673496
Dscaml1,2.59E-233,-0.284256919,0.053,0.921,9.11E-229,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.752573269
Dtnbp1,9.65E-89,-0.391292659,0.992,0.998,3.40E-84,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.676182236
Efr3a,9.01E-129,-0.607663425,1,1,3.17E-124,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.544621934
Egr1,8.43E-35,0.479142438,0.997,0.987,2.97E-30,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.614689112
Egr3,4.03E-69,0.48067629,0.977,0.941,1.42E-64,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,1.617167707
Epha4,6.10E-67,0.421076761,0.992,0.956,2.15E-62,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.523601227
Fabp5,1.56E-98,0.350198814,1,1,5.51E-94,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.419349707
Fut9,4.13E-66,0.423666539,1,0.994,1.46E-61,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,1.52755213
Gnai1,1.89E-74,-0.3928518,1,1,6.65E-70,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.675128794
Gnas,6.34E-131,0.441974218,1,1,2.23E-126,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,1.555775629
Gria4,2.62E-113,0.627266974,0.976,0.827,9.22E-109,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.872486027
Grik2,3.63E-109,-0.425766288,0.733,0.991,1.28E-104,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.653269001
Grin2b,3.08E-71,-0.318746343,1,1,1.09E-66,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.72705995
Grm3,5.65E-91,0.368226697,0.967,0.682,1.99E-86,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.445169617
Grm5,9.89E-64,-0.356702713,0.995,1,3.48E-59,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.699980562
Gucy1b3,2.38E-77,-0.307851809,0.994,1,8.37E-73,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.735024234
H2-T23,2.30E-36,0.304253666,0.716,0.548,8.11E-32,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,1.355612885
Hrh1,1.24E-125,0.30950461,0.705,0.035,4.37E-121,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.362749854
Igfbp2,2.77E-62,-0.296125639,0.094,0.456,9.77E-58,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,0.743693985
Igsf21,9.86E-228,-0.872483187,0.217,0.996,3.47E-223,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.417912505
Igsf9b,3.81E-93,0.299169569,0.98,0.919,1.34E-88,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,1.348738308
Kalrn,3.84E-46,0.254683159,1,1,1.35E-41,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.290052814
Kcnh1,7.01E-112,0.392123191,0.916,0.428,2.47E-107,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.480120038
Kcnn2,1.56E-206,-0.793226154,0.772,1,5.48E-202,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.452382981
Lmo7,3.03E-98,-0.296103947,0.709,0.978,1.07E-93,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.743710118
Lrrc4c,2.43E-77,0.392307295,1,0.996,8.56E-73,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,1,1,1.480392559
Map1a,3.16E-67,-0.304421539,0.992,0.998,1.11E-62,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.737549895
Mapt,9.59E-65,0.27976229,1,1,3.38E-60,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.322815329
Mgll,7.32E-127,0.512566886,0.982,0.772,2.58E-122,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.669571299
Neto1,2.89E-53,-0.313113397,0.894,0.96,1.02E-48,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.731166996
Npnt,1.23E-152,-0.337264692,0.036,0.676,4.31E-148,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,0.713719899
Nr4a3,1.55E-62,-0.251691756,0.353,0.761,5.46E-58,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,0.777484356
Nrn1,4.76E-183,1.102715123,1,0.974,1.68E-178,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,3.012333787
Nrxn1,3.42E-54,0.454270357,1,1,1.20E-49,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,1,1,1.575023759
Pcdh8,1.65E-164,-0.4095143,0.045,0.722,5.80E-160,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,1,1,1,0.663972663
Pik3r1,2.37E-50,0.360328697,0.998,0.998,8.36E-46,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,1.433800623
Pip5k1c,7.84E-133,0.553127469,0.999,0.954,2.76E-128,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,1.738682198
Plcb4,8.59E-86,-0.454611634,0.495,0.921,3.02E-81,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.634694414
Plk2,8.96E-102,-0.595575028,0.968,1,3.16E-97,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.551245493
Pnkd,4.29E-74,-0.334000681,0.992,1,1.51E-69,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.716053295
Prepl,1.64E-77,-0.369387867,1,1,5.78E-73,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.691157281
Prkar1a,7.05E-108,-0.261930296,1,1,2.48E-103,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,,1,0.769564664
Prkcg,3.69E-148,-0.740288456,0.963,1,1.30E-143,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.476976309
Prrt2,3.17E-82,0.390726827,0.999,0.993,1.12E-77,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.478054694
Pten,1.58E-62,0.29732816,1,1,5.58E-58,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,1.346257015
Ptk2,2.01E-42,0.303831908,0.992,0.978,7.08E-38,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,1,1,1,1.355041265
Ptk2b,3.12E-84,-0.43955733,0.992,1,1.10E-79,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.64432158
Ptn,6.95E-213,1.536984823,1,0.989,2.45E-208,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,4.650546888
Ptprd,2.12E-108,0.503831132,1,1,7.47E-104,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,1,1,1.655049855
Ptprm,8.35E-126,0.338120638,0.777,0.125,2.94E-121,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,1.402309665
Ptprt,5.70E-62,0.429504656,0.745,0.399,2.01E-57,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,1,,,1,1.536496241
Rasgrf1,1.16E-73,-0.412707181,0.998,1,4.07E-69,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.661856058
Reln,9.14E-252,-0.615566907,0.02,0.923,3.22E-247,VISp,L5 IT vs L5 PT,Glut,Glut VISp L5 IT vs L5 PT,,,1,1,0.540334489
