Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,Count,CCA,RCCA,RTSS,,,GO Cell-Cell Adhesion,GO Regulation of Cell-Cell Adhesion,GO Regulation of trans-synaptic signaling
Arhgap25,4.25E-132,-0.295758844,0.052,0.566,1.50E-127,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arhgap32,2.04E-41,0.272351214,0.997,0.983,7.17E-37,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arhgap5,1.91E-134,0.56248453,0.994,0.949,6.74E-130,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arhgdig,3.26E-167,-0.480329955,0.996,1,1.15E-162,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arl15,2.29E-234,0.683420456,0.999,0.819,8.07E-230,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arl4a,1.08E-65,0.318036657,0.983,0.963,3.80E-61,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arl6ip5,2.60E-150,0.429256124,1,0.999,9.15E-146,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arl8a,7.22E-92,-0.264890364,0.996,1,2.54E-87,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arpc2,5.30E-153,0.438487595,1,1,1.87E-148,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arpc5,3.64E-44,0.266824866,1,0.995,1.28E-39,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arpp19,1.43E-108,0.387160242,1,1,5.03E-104,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Arpp21,4.31E-138,0.804904162,1,1,1.52E-133,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Asph,4.59E-65,-0.293713581,0.967,0.999,1.62E-60,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atf4,1.63E-108,-0.420336185,0.99,0.999,5.75E-104,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Atf6,1.19E-83,0.310877784,0.932,0.681,4.18E-79,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp1a1,7.26E-185,0.550423431,1,1,2.56E-180,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp1a3,5.08E-61,-0.376632607,1,1,1.79E-56,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp1b3,3.55E-73,-0.292371622,0.947,0.988,1.25E-68,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp2b1,5.52E-232,0.74344928,1,1,1.95E-227,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp2b4,1.72E-240,0.799584993,0.995,0.736,6.06E-236,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp2c1,9.26E-47,0.287136323,1,0.978,3.26E-42,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,,,,,,,
Atp5b,1.50E-162,-0.295976435,1,1,5.28E-158,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp5j,9.06E-116,-0.302963886,1,1,3.19E-111,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp6ap1,1.81E-79,-0.303463292,0.996,1,6.36E-75,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp6ap1l,2.23E-147,0.43565743,0.976,0.564,7.85E-143,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp6ap2,5.66E-204,-0.50388151,1,1,1.99E-199,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp6v1g1,7.55E-166,-0.388319301,1,1,2.66E-161,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atp6v1h,2.56E-90,-0.267938155,1,1,9.00E-86,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atpif1,1.37E-73,-0.251744193,1,1,4.81E-69,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Atxn10,1.33E-83,-0.284592528,1,1,4.68E-79,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
B230216N24Rik,9.70E-277,0.950456743,0.988,0.34,3.41E-272,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
B3galt2,1.83E-94,-0.432188098,0.645,0.919,6.45E-90,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
B3gnt2,3.35E-86,0.324148139,0.789,0.415,1.18E-81,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Bag1,2.12E-73,-0.274543487,0.984,0.995,7.47E-69,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Bag2,6.54E-86,0.316878623,0.704,0.31,2.30E-81,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Baiap2,8.20E-166,0.621192457,1,1,2.89E-161,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Basp1,1.26E-204,-0.428658679,1,1,4.44E-200,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
BC030499,2.29E-195,0.493729693,0.932,0.385,8.08E-191,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Bcap29,6.18E-67,-0.286228243,0.949,0.984,2.18E-62,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Bcat1,1.14E-110,-0.43965989,0.559,0.894,4.01E-106,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Bdnf,1.50E-56,0.796988289,0.892,0.785,5.28E-52,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Bend5,5.13E-84,-0.279515554,0.737,0.935,1.81E-79,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Bhlhb9,1.61E-87,0.431849001,0.989,0.938,5.68E-83,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Bok,2.02E-157,-0.432975874,0.205,0.784,7.12E-153,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Brinp1,5.17E-39,0.341067986,1,0.998,1.82E-34,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Btaf1,9.53E-36,0.250613682,0.928,0.839,3.36E-31,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Btbd10,8.33E-48,0.296997553,0.995,0.993,2.93E-43,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Btbd3,6.56E-179,0.526439466,0.978,0.486,2.31E-174,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
C2cd2l,1.11E-85,0.316225601,0.978,0.87,3.92E-81,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
C730002L08Rik,1.58E-149,0.643578483,0.931,0.658,5.56E-145,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cacna1e,2.90E-47,0.261111461,0.999,0.978,1.02E-42,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cacna2d1,3.63E-75,0.335611898,1,0.991,1.28E-70,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cacnb3,4.72E-63,0.251891377,0.993,0.978,1.66E-58,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Cacng3,7.26E-247,0.732421817,1,0.997,2.56E-242,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Cadm1,1.34E-121,0.439582335,1,0.993,4.73E-117,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,,,,,,,
Cadm2,4.35E-70,0.328180483,0.993,0.997,1.53E-65,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cadps2,1.65E-173,-0.602855158,0.394,0.935,5.80E-169,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Calb1,0,2.731218536,1,0.158,0,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Caly,5.93E-112,0.363980394,1,0.999,2.09E-107,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Camk2a,7.17E-96,0.298822126,1,1,2.52E-91,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Camk2n1,2.62E-236,0.797692496,1,1,9.21E-232,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Camk2n2,1.03E-150,0.298726713,0.993,0.699,3.63E-146,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Camkk1,7.38E-66,0.3665677,0.973,0.895,2.60E-61,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Camta1,5.86E-60,-0.282630644,0.996,1,2.07E-55,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Car4,5.27E-91,0.290446731,0.973,0.49,1.85E-86,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Casc4,2.32E-44,0.256008081,0.985,0.943,8.17E-40,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cav2,2.90E-69,-0.370795868,0.894,0.991,1.02E-64,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cbfb,2.43E-85,0.298947023,0.702,0.302,8.57E-81,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,1,,,,,,
Cbln2,3.07E-54,0.257767329,0.867,0.56,1.08E-49,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ccdc136,1.74E-78,-0.430859412,0.874,0.978,6.12E-74,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ccdc80,7.97E-105,-0.299542498,0.265,0.733,2.81E-100,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ccdc85b,3.56E-107,-0.250904653,0.998,1,1.25E-102,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cck,6.98E-59,0.263346434,1,1,2.46E-54,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ccl27a,3.79E-31,-0.250099285,0.999,1,1.33E-26,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ccnd2,4.78E-65,0.307010146,0.847,0.533,1.68E-60,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cd83,6.09E-157,-0.466871791,0.155,0.756,2.15E-152,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,1,,,,,,
Cdh13,2.26E-17,0.282217991,0.38,0.223,7.96E-13,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,,,,,,,
Cdkn1a,1.43E-19,0.420988511,0.825,0.815,5.05E-15,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Celf1,8.75E-67,0.283264628,1,0.995,3.08E-62,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Celf4,2.83E-165,-0.483130031,1,1,9.95E-161,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Cend1,1.82E-183,-0.449299283,1,1,6.41E-179,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cfl1,2.00E-159,-0.344044309,1,1,7.04E-155,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Chchd10,5.80E-115,-0.31495745,1,1,2.04E-110,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Chd3os,7.88E-75,-0.282150065,1,1,2.78E-70,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Chga,1.35E-268,-0.946069052,0.967,1,4.76E-264,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Chgb,3.69E-48,-0.289076176,1,1,1.30E-43,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Chn1,3.39E-134,0.287437127,1,1,1.19E-129,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Chn2,7.08E-96,-0.441632835,0.693,0.948,2.49E-91,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Chrna4,1.50E-245,-0.326485661,0.135,0.892,5.28E-241,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Chst1,2.88E-161,0.530324993,1,0.991,1.02E-156,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cinp,3.63E-100,0.378946741,0.999,0.989,1.28E-95,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Clec2l,4.74E-114,-0.321304027,0.866,0.983,1.67E-109,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Clip3,8.04E-76,-0.297324325,0.998,1,2.83E-71,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Clstn2,2.54E-49,-0.252526256,0.919,0.973,8.94E-45,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,,1,,,,,
Cmip,1.09E-65,0.265116698,1,1,3.84E-61,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cnih3,2.37E-296,-0.9661281,0.155,0.972,8.34E-292,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cnksr2,9.95E-69,0.330450429,0.999,0.997,3.50E-64,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Coch,5.13E-17,-0.266188819,0.658,0.803,1.81E-12,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cox5a,8.22E-80,-0.255988234,1,1,2.90E-75,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cox7b,9.81E-161,-0.421088777,1,1,3.46E-156,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cpe,5.36E-109,-0.300530742,1,1,1.89E-104,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cplx1,1.16E-247,-1.021147688,0.993,1,4.07E-243,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Cplx3,1.41E-43,-0.282291829,0.115,0.361,4.97E-39,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Cpne5,1.21E-171,0.417952078,0.971,0.601,4.27E-167,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cpne6,1.59E-283,1.442554503,0.997,0.465,5.61E-279,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Crip2,9.67E-244,0.859982585,1,0.953,3.40E-239,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cryab,1.25E-250,-1.01277744,0.252,0.922,4.42E-246,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Crym,7.55E-108,-0.419348849,0.069,0.509,2.66E-103,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cst3,1.72E-115,-0.311841594,1,1,6.05E-111,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ctnna2,5.56E-68,-0.314026802,0.86,0.961,1.96E-63,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ctsz,3.23E-217,-0.663799757,0.205,0.87,1.14E-212,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ctxn1,4.53E-179,0.470946387,1,1,1.60E-174,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cuedc2,4.42E-102,-0.269900322,0.999,1,1.56E-97,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cux1,9.54E-192,0.458865779,0.959,0.486,3.36E-187,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cux2,2.64E-218,0.278944177,0.993,0.226,9.29E-214,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Cx3cl1,1.28E-84,0.415802763,1,1,4.50E-80,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,1,,,,,,
Cxcl12,1.01E-87,0.373484364,0.65,0.219,3.54E-83,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,1,,,,,,
Cxxc4,4.98E-127,-0.368638513,0.475,0.872,1.75E-122,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cxxc5,4.69E-91,-0.311254781,0.896,0.995,1.65E-86,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cyb5a,4.54E-97,-0.367583279,0.996,1,1.60E-92,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Cyld,3.04E-74,0.325849126,0.973,0.882,1.07E-69,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,1,,,,,,
Cyp46a1,2.04E-175,0.703264483,1,0.982,7.18E-171,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
D8Ertd82e,3.43E-152,0.267221143,0.819,0.21,1.21E-147,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dab1,4.02E-118,0.445866469,0.997,0.892,1.42E-113,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,,,,,,,
Dbn1,2.55E-86,0.335811673,0.998,0.982,8.98E-82,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Dcaf7,3.26E-51,0.251674221,0.982,0.936,1.15E-46,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dclk1,5.65E-129,-0.455942577,1,1,1.99E-124,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dclk3,1.51E-162,0.323548115,0.742,0.105,5.32E-158,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ddit4l,7.73E-177,0.768494715,0.76,0.11,2.72E-172,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ddn,1.32E-93,0.299282613,0.987,0.918,4.66E-89,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Deptor,7.87E-279,-1.127282302,0.216,0.959,2.77E-274,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dgcr6,8.95E-56,0.277655629,0.996,0.984,3.15E-51,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dgkb,6.31E-103,0.554170745,0.987,0.789,2.22E-98,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Dgkg,2.65E-36,0.266426852,0.895,0.81,9.32E-32,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dgkz,2.11E-41,0.25639491,0.987,0.966,7.44E-37,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Diras2,6.33E-54,-0.385046049,0.808,0.956,2.23E-49,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dkk3,4.91E-157,-0.775591479,0.887,0.985,1.73E-152,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dkkl1,1.04E-257,-1.076107107,0.249,0.932,3.67E-253,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dlg1,3.62E-66,0.385961576,0.999,0.999,1.28E-61,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,1,1,,,,,,
Dlgap1,1.46E-110,0.364565865,1,0.998,5.15E-106,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Dnajb1,1.85E-99,0.473934554,0.992,0.951,6.52E-95,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dnajc6,1.00E-76,-0.264926586,0.984,1,3.53E-72,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dner,2.77E-75,-0.368005801,0.594,0.867,9.75E-71,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dnm1,5.69E-65,-0.297992529,1,1,2.00E-60,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,1,,,,,
Dnm3,2.98E-65,-0.291268108,0.965,0.995,1.05E-60,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dok5,1.08E-148,0.584934923,0.981,0.747,3.79E-144,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dpy19l1,4.16E-218,-0.776664053,0.636,0.999,1.47E-213,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dpy19l3,2.42E-147,0.291170205,0.799,0.214,8.51E-143,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Drc1,1.43E-87,0.274029091,0.831,0.462,5.03E-83,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dtd1,2.64E-82,-0.271412074,0.993,1,9.31E-78,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dtna,1.11E-82,0.463585742,0.979,0.94,3.91E-78,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dusp14,4.77E-161,0.694808496,1,0.99,1.68E-156,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dusp18,5.60E-154,0.404331815,0.901,0.385,1.97E-149,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dynlt3,1.15E-59,-0.257347079,0.998,0.999,4.06E-55,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Dyrk3,3.05E-87,0.281827289,0.8,0.42,1.08E-82,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Ebp,2.94E-103,-0.315858801,0.74,0.957,1.03E-98,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Edil3,4.30E-105,0.506545195,0.994,0.919,1.51E-100,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
Efhd2,1.11E-41,-0.268896753,0.992,0.999,3.91E-37,VISp,L2/3 IT vs L5 IT,Glut,Glut VISp L2/3 IT vs L5 IT,1,,,,,,,,
